Company,Search Term,Title,Job ID,Location,Posted On,Job URL
Walmart,data analyst,"(USA) Operations Manager - Floor (fashion, Import, Jewelry, Regional, Returns, Sam's, Wm.com, Hmsc)",R-2428101,(USA) TX PALESTINE 06036 REGIONAL,Posted 22 Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/USA-TX-PALESTINE-06036-REGIONAL/XMLNAME--USA--Operations-Manager---Floor--fashion--Import--Jewelry--Regional--Returns--Sam-s--Wmcom--Hmsc-_R-2428101-1
Walmart,data analyst,(USA) Operations Manager - Floor (Consolidation),R-2446136,US TX DESOTO 06938 AUTOMATED CONSOLIDATION CENTER,Posted 6 Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/US-TX-DESOTO-06938-AUTOMATED-CONSOLIDATION-CENTER/XMLNAME--USA--Operations-Manager---Floor--Consolidation-_R-2446136-1
Walmart,data analyst,(USA) Operations Manager - Floor,R-2448583,US TX BAYTOWN 07042 IMPORT,Posted 3 Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/US-TX-BAYTOWN-07042-IMPORT/XMLNAME--USA--Operations-Manager---Floor_R-2448583-1
Walmart,data analyst,(USA) Operations Manager - Floor (Grocery),R-2449567,(USA) TX LANCASTER 08348 GROCERY,Posted 2 Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/USA-TX-LANCASTER-08348-GROCERY/XMLNAME--USA--Operations-Manager---Floor--Grocery-_R-2449567
Walmart,data analyst,"(USA) Assistant General Manager (Fashion, Import, Jewelry, Regional, Wm.Com, Returns)-2",R-2408634,(USA) TX LANCASTER 07382 ECOMM FULFILLMENT SERVICES,Posted 30+ Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/USA-TX-LANCASTER-07382-ECOMM-FULFILLMENT-SERVICES/XMLNAME--USA--Assistant-General-Manager--Fashion--Import--Jewelry--Regional--WmCom--Returns--2_R-2408634-1
Walmart,business intelligence,"(USA) Senior, Data Engineer",R-2399845,2 Locations,Posted 30+ Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/USA-VIZIO-SERVICES-DALLAS-TX-DALLAS-Home-Office/XMLNAME--USA--Senior--Data-Engineer_R-2399845-1
Walmart,business intelligence,{},R-2411257,,,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal
Walmart,business intelligence,Power Equipment Operator,R-1075582,US TX DAYTON 06698 REGIONAL,Posted 4 Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/US-TX-DAYTON-06698-REGIONAL/Power-Equipment-Operator_R-1075582
Walmart,business intelligence,Power Equipment Operator,R-1075583,US TX FORT WORTH 06845 ECOMM WHSE LOGISTICS,Posted Yesterday,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/US-TX-FORT-WORTH-06845-ECOMM-WHSE-LOGISTICS/Power-Equipment-Operator_R-1075583
Walmart,business intelligence,"Technician, General Facilities Maintenance",R-2389435,(USA) TX HOUSTON 11219 FACILITIES MAINTENANCE WAREHOUSE,Posted 30+ Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/USA-TX-HOUSTON-11219-FACILITIES-MAINTENANCE-WAREHOUSE/Technician--General-Facilities-Maintenance_R-2389435-2
Walmart,business intelligence,"Technician, General Facilities Maintenance - DS",R-2409929,(USA) TX HOUSTON 11219 FACILITIES MAINTENANCE WAREHOUSE,Posted 30+ Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/USA-TX-HOUSTON-11219-FACILITIES-MAINTENANCE-WAREHOUSE/Technician--General-Facilities-Maintenance---DS_R-2409929-2
Walmart,business intelligence,"Technician, General Facilities Maintenance – Journeyman Electrician",R-2376920,"Houston, TX",Posted 30+ Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/Houston-TX/Technician--General-Facilities-Maintenance---Journeyman-Electrician_R-2376920-1
Walmart,business intelligence,"Technician, General Facilities Maintenance – Journeyman Electrician",R-2374848,"Austin, TX",Posted 30+ Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/Austin-TX/Technician--General-Facilities-Maintenance---Journeyman-Electrician_R-2374848-2
Walmart,business intelligence,"Technician, General Facilities Maintenance – Journeyman Electrician",R-2376865,"San Antonio, TX",Posted 30 Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/San-Antonio-TX/Technician--General-Facilities-Maintenance---Journeyman-Electrician_R-2376865-1
Walmart,business intelligence,"(USA) Fleet Development Facilitator (Bentonville, AR)",R-2406041,"Sanger, TX",Posted 2 Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/Sanger-TX/XMLNAME--USA--Fleet-Development-Facilitator--Bentonville--AR-_R-2406041
Walmart,business intelligence,"(USA) Fleet Development Facilitator (Lancaster, TX)",R-2413196,"Sanger, TX",Posted 24 Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/Sanger-TX/XMLNAME--USA--Fleet-Development-Facilitator--Lancaster--TX-_R-2413196
Walmart,business intelligence,"(USA) Fleet Development Facilitator (Sanger, TX)",R-2413201,"Sanger, TX",Posted 24 Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/Sanger-TX/XMLNAME--USA--Fleet-Development-Facilitator--Sanger--TX-_R-2413201
Walmart,business intelligence,(USA) Asset Protection Associate - All DC/FC,R-2443721,US TX FORT WORTH 06845 ECOMM WHSE LOGISTICS,Posted 8 Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/US-TX-FORT-WORTH-06845-ECOMM-WHSE-LOGISTICS/XMLNAME--USA--Asset-Protection-Associate---All-DC-FC_R-2443721
Walmart,ai engineer,"(USA) Solution Consultant III, Gen-AI - AI/ML Engineer",R-2441117,3 Locations,Posted 2 Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/Irvine-CA/XMLNAME--USA--Solution-Consultant-III--Gen-AI---AI-ML-Engineer_R-2441117
Walmart,ai engineer,{},R-2411257,,,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal
Walmart,ai engineer,"(USA) Senior, Data Engineer",R-2399845,2 Locations,Posted 30+ Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/USA-VIZIO-SERVICES-DALLAS-TX-DALLAS-Home-Office/XMLNAME--USA--Senior--Data-Engineer_R-2399845-1
Walmart,ai engineer,"(USA) Overnight Stocking Coach, Non-Complex, Management- Store 3170 Elgin, TX (Austin, TX)",R-2442047,(USA) TX ELGIN 03170 WM SUPERCENTER,Posted 8 Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/USA-TX-ELGIN-03170-WM-SUPERCENTER/XMLNAME--USA--Overnight-Stocking-Coach--Non-Complex--Management--Store-3170-Elgin--TX--Austin--TX-_R-2442047-1
Walmart,ai engineer,"Senior, Software Engineer",R-2395800,"Dallas, TX",Posted 30+ Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/Dallas-TX/Senior--Software-Engineer_R-2395800
Walmart,ai engineer,"(USA) Senior, Software Engineer",R-2341197,"Dallas, TX",Posted 30+ Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/Dallas-TX/XMLNAME--USA--Senior--Software-Engineer_R-2341197
Walmart,ai engineer,"(USA) Senior, Software Engineer",R-2405497,"Dallas, TX",Posted 30 Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/Dallas-TX/XMLNAME--USA--Senior--Software-Engineer_R-2405497
Walmart,ai engineer,"(USA) Senior, Software Engineer",R-2381448,"Dallas, TX",Posted 30+ Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/Dallas-TX/XMLNAME--USA--Senior--Software-Engineer_R-2381448
Walmart,ai engineer,(USA) Software Engineer III,R-2408169,"Dallas, TX",Posted 30 Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/Dallas-TX/XMLNAME--USA--Software-Engineer-III_R-2408169
